S.N.,longitude,latitude,dist_to_trunk_roads,dist_to_primary_roads_and_above,dist_to_secondary_roads_and_above,dist_to_tertiary_roads_and_above,dist_to_all_roads
1,81.34692,28.47938,2748.2280149092094,2748.2280149092094,2748.2280149092094,2748.2280149092094,2748.2280149092094
2,81.4287,28.49481,8834.823632889038,8834.823632889038,8834.823632889038,8834.823632889038,8834.823632889038
3,81.41538,28.51754,8731.665357580181,8731.665357580181,8731.665357580181,8731.665357580181,8731.665357580181
4,81.26931,28.57754,3326.6135789828313,3326.6135789828313,3326.6135789828313,3326.6135789828313,3202.5384718818627
5,81.24167,28.57082,4837.172024107184,4837.172024107184,4837.172024107184,612.950861011325,612.950861011325
6,81.40665,28.4376,2871.5126126954847,2871.5126126954847,2871.5126126954847,2871.5126126954847,2871.5126126954847
7,81.50198,28.48127,13410.799819933554,13410.799819933554,13410.799819933554,9137.236225481198,2587.6981105301074
8,81.48147,28.4766,11380.93428776663,11380.93428776663,11380.93428776663,11217.084364430486,4634.390435321576
9,81.5624,28.4229,14642.334927636397,12468.17155746195,14642.334927636397,9473.236935519602,5795.502220950412
10,81.23999,28.50449,8092.347403160241,8092.347403160241,8092.347403160241,1555.515486801072,1555.515486801072
11,81.22433,28.4394,9548.625660490725,9548.625660490725,6827.178267683332,1925.8116575622405,1165.0903470760559
12,81.39817,28.42935,1825.6780715507518,1825.6780715507518,1825.6780715507518,1825.6780715507518,1825.6780715507518
13,81.56531,28.4033,13872.973937649818,11701.16670564161,13872.973937649818,10848.21976818288,7114.375418063387
14,81.20833,28.45752,10857.697614541434,10857.697614541434,7739.4553892075755,872.8711391825866,872.8711391825866
15,81.22111,28.38412,12352.482196735338,12352.482196735338,2051.223568324435,2019.689339690816,2.9220432854830443
16,81.24209,28.39714,9842.747702957236,9842.747702957236,3512.8215283374907,2.9397805669190626,2.9397805669190626
17,81.26302,28.50753,6004.209447463835,6004.209447463835,6004.209447463835,3524.8660830818994,1988.1536336471827
18,81.27079,28.50268,5167.538961984292,5167.538961984292,5167.538961984292,4391.839808398524,2671.7821004210805
19,81.25133,28.51745,7285.184833702103,7285.184833702103,7285.184833702103,2360.234831698226,398.8124436874938
20,81.2615,28.49583,5784.613453065096,5784.613453065096,5784.613453065096,3846.5263703850555,1492.762795041857
21,81.42588,28.44125,4786.327666281473,4786.327666281473,4786.327666281473,4786.327666281473,4786.327666281473
22,81.51368,28.44694,12371.184227761432,12371.184227761432,12371.184227761432,9933.709373625725,5170.2572198683365
23,81.53882,28.44374,13955.41077460366,12711.895612576332,13955.41077460366,8471.228917342525,5491.06165794443
24,81.24015,28.47842,7589.9700531327,7589.9700531327,7589.9700531327,2977.772681298198,112.9837730525045
25,81.22564,28.44911,9230.108942465717,9230.108942465717,7778.754795304638,1839.1881643186805,108.14968286908206
26,81.21902,28.5124,10326.852612729956,10326.852612729956,9942.374348229843,7.7861080878551165,7.7861080878551165
27,81.36361,28.42445,734.4848673862341,734.4848673862341,734.4848673862341,734.4848673862341,734.4848673862341
28,81.39025,28.41808,1085.3190284847226,1085.3190284847226,1085.3190284847226,1085.3190284847226,1085.3190284847226
29,81.45807,28.4514,8144.408136097173,8144.408136097173,8144.408136097173,8144.408136097173,8009.371142200959
30,81.49695,28.46433,12224.803035499675,12224.803035499675,12224.803035499675,10274.37246896334,4167.507433983279
31,81.67002,28.37008,18677.147908278414,2125.933249218969,10989.122005863464,3457.1976807892015,3457.1976807892015
32,81.54977,28.4167,13223.215110601664,13223.215110601664,13223.215110601664,10548.343958852704,7166.8679042961885
33,81.54593,28.41316,12708.830493351059,12708.830493351059,12708.830493351059,11059.000527860737,7711.1047910200605
34,81.51195,28.31482,6311.5050333896015,6311.5050333896015,6311.5050333896015,2137.9498509645864,2137.9498509645864
35,81.32445,28.5106,63.18875735804177,63.18875735804177,63.18875735804177,63.18875735804177,32.50983138705019
36,81.31426,28.57703,826.3978384971228,826.3978384971228,826.3978384971228,826.3978384971228,826.3978384971228
37,81.19561,28.42323,12753.390449676644,12753.390449676644,3752.6011784842026,836.942890614685,836.942890614685
38,81.19268,28.43334,12732.050859534294,12732.050859534294,4679.385762928323,447.28936099251365,447.28936099251365
39,81.19453,28.4475,12288.359223049401,12288.359223049401,6240.108762187055,70.2159489671568,70.2159489671568
40,81.20791,28.47666,10759.546096839387,10759.546096839387,9724.453443024337,155.24899635487125,155.24899635487125
